Living_space;Num_of_rooms;Renovation;Price;Total_area;Kitchen_area;Floor;Appliances_1;Appliances_2;Appliances_3;Appliances_4;Appliances_5;Appliances_6;Appliances_7;Appliances_8;Appliances_9;Appliances_10;Balcony_1;Balcony_2;Furniture_1;Furniture_2;Furniture_3;Internet_tv_1;Internet_tv_2;Bathroom_1;Bathroom_2;Utilities_1;Room_type_1;Room_type_2;Studio;Floors_in_b;location;coord;district_1;district_2;district_3;district_4;district_5;district_6;district_7;district_8;district_9
20.0;1;1;27000;39.0;12.0;10;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;19;Газпромбанк, 3, улица Разведчика Ахмерова, Art City, Октябрьский городок, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420061, Россия;(55.7978535, 49.1793271);1;0;0;0;0;0;0;0;0
;1;1;14000;18.0;;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;9;53, улица Татарстан, Старо-Татарская слобода, Вахитовский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420021, Россия;(55.77585095, 49.1077901578817);0;1;0;0;0;0;0;0;0
;3;2;40000;105.0;25.0;2;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;5;5, улица Мидхата Булатова, 33-й Военный городок, Ферма-2, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420046, Россия;(55.731757599999995, 49.169174993589834);0;0;1;0;0;0;0;0;0
13.5;1;2;20000;45.0;17.5;5;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;9;31, улица Сибгата Хакима, Ново-Савиновский район, Казань, Татарстан, Приволжский федеральный округ, 420126, Россия;(55.816227350000005, 49.13680551681148);0;0;0;1;0;0;0;0;0
24.0;1;2;22000;36.0;6.0;10;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10;Ozon, 13, улица Адоратского, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 421001, Россия;(55.8252666, 49.1468802);0;0;0;1;0;0;0;0;0
;2;2;25000;43.0;12.0;5;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;5;"Мини-отель ""Портал"", 2А, улица Мазита Гафури, Ново-Татарская слобода, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420108, Россия";(55.7722507, 49.1020975);0;1;0;0;0;0;0;0;0
;1;1;35000;41.0;10.0;5;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;6;3, Меридианная улица, ЖК Берег, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420124, Россия;(55.81792525, 49.114344693972754);0;0;0;1;0;0;0;0;0
;1;2;18000;32.9;8.0;6;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10;31, Чистопольская улица, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420103, Россия;(55.8204222, 49.1213122);0;0;0;1;0;0;0;0;0
;1;1;16000;35.0;6.0;2;0;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;5;Арыш мае, 106 к1, улица Восстания, Левченко, Московский район, Казань, Татарстан, Приволжский федеральный округ, 420095, Россия;(55.8320076, 49.051918650000005);0;0;0;0;1;0;0;0;0
30.3;1;1;15000;35.6;;4;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;1;14;25А, улица Латышских Стрелков, Танкодром, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420059, Россия;(55.75886355, 49.16613172191025);1;0;0;0;0;0;0;0;0
;2;2;40000;78.0;17.0;2;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;9;Говиндас, 79, Чистопольская улица, Ново-Савиновский район, Казань, Татарстан, Приволжский федеральный округ, 421001, Россия;(55.8225778, 49.1532705);0;0;0;1;0;0;0;0;0
35.0;2;2;25000;47.0;9.0;4;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;5;9, улица Латышских Стрелков, Танкодром, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420087, Россия;(55.7620783, 49.1744975);1;0;0;0;0;0;0;0;0
18.0;1;2;20000;40.0;12.0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;10;62Г, улица Николая Ершова, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420081, Россия;(55.79471135, 49.178937057121686);1;0;0;0;0;0;0;0;0
;1;1;18000;38.9;9.0;5;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;5;10, переулок Односторонки Гривки, Козья слобода, Кировский район, Казань, Татарстан, Приволжский федеральный округ, 420034, Россия;(55.81252895, 49.09089221975732);0;0;0;0;0;1;0;0;0
65.0;2;2;50000;90.0;15.0;4;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;5;ИК банк, 28, Чистопольская улица, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420124, Россия;(55.8188515, 49.1164811);0;0;0;1;0;0;0;0;0
33.2;2;1;18000;63.0;13.1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;Флагман, 29, улица Бутлерова, Старо-Татарская слобода, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420012, Россия;(55.7884032, 49.1320837);0;1;0;0;0;0;0;0;0
15.5;1;1;18000;36.6;9.2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;12, улица Волкова, Аки, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420075, Россия;(55.84985115, 49.25372233475784);1;0;0;0;0;0;0;0;0
;3;2;55000;110.0;25.0;3;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;5;21, улица Марселя Салимжанова, Старо-Татарская слобода, Вахитовский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420107, Россия;(55.775458400000005, 49.13601998749783);0;1;0;0;0;0;0;0;0
15.0;1;1;13000;32.0;9.0;3;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;5;улица Качалова, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420049, Россия;(55.7734743, 49.1465448);0;0;1;0;0;0;0;0;0
26.8;2;2;45000;51.6;11.0;4;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;10;99Б, улица Павлюхина, Воскресенский, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420087, Россия;(55.767101749999995, 49.149171213902754);0;0;1;0;0;0;0;0;0
;1;2;17000;39.7;10.0;15;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;17;Магнит Косметик, 119, улица Хади Такташа, Юл Урам, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420059, Россия;(55.7679878, 49.1344212);0;0;1;0;0;0;0;0;0
;1;3;20000;25.0;10.0;2;0;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;21;27В, Роторная улица, Приволжский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420059, Россия;(55.766262499999996, 49.14469825);0;0;1;0;0;0;0;0;0
22.0;1;1;13500;33.0;;5;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;1;10;87, Спартаковская улица, Калуга, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420107, Россия;(55.77545955, 49.139201943595054);0;1;0;0;0;0;0;0;0
30.1;1;1;13000;38.7;5.5;3;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;5;11А, улица Шуртыгина, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420073, Россия;(55.78989165, 49.17665002848398);1;0;0;0;0;0;0;0;0
;1;3;15000;16.2;;1;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;1;9;Берёзка, 15, улица Адоратского, Ново-Савиновский район, Казань, Татарстан, Приволжский федеральный округ, 421001, Россия;(55.8291988, 49.1466537);0;0;0;1;0;0;0;0;0
42.0;3;3;80000;90.0;20.0;8;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;20;Вита Экспресс, 2, улица Алексея Козина, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420126, Россия;(55.8134452, 49.1362855);0;0;0;1;0;0;0;0;0
48.1;2;1;15500;56.3;7.4;3;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;0;9;КБЭР Банк Казани, 35, улица Серова, 46 квартал, Московский район, Казань, Татарстан, Приволжский федеральный округ, 420102, Россия;(55.8261965, 49.0683416);0;0;0;0;1;0;0;0;0
;3;1;30000;78.0;10.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;Папа Джонс, 14, улица Абсалямова, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420066, Россия;(55.8197457, 49.1115511);0;0;0;1;0;0;0;0;0
;1;2;18000;37.7;10.0;2;0;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;5;15, улица Гоголя, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420015, Россия;(55.796277700000005, 49.132888144305966);0;1;0;0;0;0;0;0;0
;2;3;40000;52.0;20.0;9;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;0;0;10;3А, улица Адоратского, Ново-Савиновский район, Казань, Татарстан, Приволжский федеральный округ, 421001, Россия;(55.82192995, 49.14597045060822);0;0;0;1;0;0;0;0;0
19.0;1;1;15000;41.0;10.0;5;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;18;7, улица Тансык, Кировский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 422527, Россия;(55.86720305, 48.87785337759446);0;0;0;0;0;1;0;0;0
;1;1;17000;36.0;9.0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;78, улица Рихарда Зорге, Горки-3, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420138, Россия;(55.745553150000006, 49.213046678016326);0;0;1;0;0;0;0;0;0
35.0;2;3;30000;51.0;15.0;6;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;10;35А, Даурская улица, Танкодром, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420087, Россия;(55.76742095, 49.182269575955615);1;0;0;0;0;0;0;0;0
18.0;1;2;17000;35.0;7.0;4;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;9;Вкусвилл, 85, улица Декабристов, Кизическая слобода, Московский район, Казань, Татарстан, Приволжский федеральный округ, 420034, Россия;(55.8186543, 49.090477);0;0;0;0;1;0;0;0;0
21.0;1;3;40000;40.0;10.0;10;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;10;Пятёрочка, 7, улица Разведчика Ахмерова, Art City, Октябрьский городок, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420061, Россия;(55.7962257, 49.1830096);1;0;0;0;0;0;0;0;0
16.0;1;1;17000;39.3;10.0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;41, улица Хади Такташа, Старо-Татарская слобода, Вахитовский район, Казань, Татарстан, Приволжский федеральный округ, 420107, Россия;(55.77580985, 49.12998491702611);0;1;0;0;0;0;0;0;0
;1;3;17000;37.0;10.0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;10;106А, Приволжская улица, Калининский, Кировский район, Казань, Татарстан, Приволжский федеральный округ, 420079, Россия;(55.80864365, 48.92511809714087);0;0;0;0;0;1;0;0;0
;1;1;18500;39.4;11.2;8;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;14;1, Чистопольская улица, Кизическая слобода, Московский район, Казань, Татарстан, Приволжский федеральный округ, 420066, Россия;(55.819269899999995, 49.098379972340425);0;0;0;0;1;0;0;0;0
;1;2;22000;40.2;8.0;4;0;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;17;121, улица Хади Такташа, Юл Урам, Приволжский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420107, Россия;(55.76734305, 49.135125472224075);0;0;1;0;0;0;0;0;0
;1;1;15000;35.0;8.0;10;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;15;улица Айрата Арсланова, ЖК Салават Купере, Кировский район, Казань, Татарстан, Приволжский федеральный округ, 422527, Россия;(55.8656529, 48.8847083);0;0;0;0;0;1;0;0;0
28.2;2;1;19500;45.8;7.6;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;5;35, улица Латышских Стрелков, Танкодром, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420059, Россия;(55.7557189, 49.1669161);1;0;0;0;0;0;0;0;0
17.0;1;1;15000;45.0;15.0;3;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;10;45, Минская улица, Азино-2, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420140, Россия;(55.7729032, 49.24185138796929);1;0;0;0;0;0;0;0;0
16.0;1;1;15000;32.0;7.0;4;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;9;19, улица Академика Павлова, Соцгород, Авиастроительный район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420127, Россия;(55.8644924, 49.09756456772083);0;0;0;0;0;0;1;0;0
;1;1;16500;36.6;9.0;7;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;16;3, Чистопольская улица, Кизическая слобода, Московский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420066, Россия;(55.81912975, 49.09914071444136);0;0;0;0;1;0;0;0;0
10.0;1;2;15000;14.0;2.0;5;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;9;улица Хусаина Мавлютова, Горки-1, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420101, Россия;(55.7607009, 49.1887255);0;0;1;0;0;0;0;0;0
;1;2;18000;45.0;12.0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10;VIP, 10/8, Чистопольская улица, Кизическая слобода, Московский район, Казань, Татарстан, Приволжский федеральный округ, 420124, Россия;(55.8186968, 49.1041413);0;0;0;0;1;0;0;0;0
;1;2;16000;42.0;10.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;21, улица Ноксинский Спуск, Азино-2, Советский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420140, Россия;(55.7710042, 49.23689902522966);1;0;0;0;0;0;0;0;0
