Балкон или лоджия;Мебель;Адрес;Жилая площадь;Количество комнат;Ремонт;Интернет и ТВ;Цена;Техника;Общая площадь;Площадь кухни;Санузел;Этаж;Оплата по счётчикам;Тип комнат
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Разведчика Ахмерова, 3; 20 м²; 1; косметический; Wi-Fi, телевидение;27 000; холодильник, плита, стиральная машина, телевизор; 39 м²; 12 м²; совмещенный; 10 из 19;;
;;Республика Татарстан, Казань, Вахитовский район, ул. Татарстан, 53;; студия; косметический;;14 000;; 18 м²;; совмещенный; 9 из 9; включена в плату;
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Мидхата Булатова, 5;; 3; евро;;40 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 105 м²; 25 м²; совмещенный; 2 из 5;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Альберта Камалеева, 32; 16 м²; 1; евро;;27 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 32 м²; 9 м²;; 14 из 23;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Сибгата Хакима, 31; 13.5 м²; 1; евро;;20 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 45 м²; 17.5 м²; совмещенный; 5 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Адоратского, 13; 24 м²; 1; евро; Wi-Fi, телевидение;22 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 36 м²; 6 м²; совмещенный; 10 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Мазита Гафури, 2;; 2; евро; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 43 м²; 12 м²; совмещенный; 5 из 5;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Пестречинский р-н, Богородское сельское поселение, д. Куюки, 14-й квартал, 6;; 1; евро;;13 000; холодильник, плита, стиральная машина, водонагреватель, телевизор; 44 м²; 9 м²; совмещенный; 2 из 3;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Ново-Савиновский район, Меридианная ул., 3;; 1; косметический; Wi-Fi;35 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 41 м²; 10 м²; совмещенный; 5 из 6;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 31;; 1; евро; Wi-Fi, телевидение;18 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 32.9 м²; 8 м²; совмещенный; 6 из 10;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Альберта Камалеева, 1;; 2; дизайнерский; Wi-Fi;130 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 130 м²; 50 м²; раздельный; 12 из 36;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Восстания, 1;; 1; косметический; Wi-Fi, телевидение;16 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 35 м²; 6 м²; совмещенный; 2 из 5; включена в плату;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Латышских Стрелков, 25А; 30.3 м²; студия; косметический;;15 000; кондиционер, холодильник, плита, микроволновка, стиральная машина; 35.6 м²;; совмещенный; 4 из 14;;
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 79;; 2; евро; Wi-Fi, телевидение;40 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 78 м²; 17 м²; совмещенный; 2 из 9;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Латышских Стрелков, 9; 35 м²; 2; евро; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 47 м²; 9 м²; совмещенный; 4 из 5; включена в плату; изолированные
 лоджия;;Республика Татарстан, Казань, ул. Николая Ершова, 62Г; 18 м²; 1; евро;;20 000;; 40 м²; 12 м²; совмещенный; 3 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пер. Односторонки Гривки, 10;; 1; косметический;;18 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 38.9 м²; 9 м²; совмещенный; 5 из 5;;
