Address;Living_space;Num_of_rooms;Renovation;Price;Total_area;Kitchen_area;Floor;Appliances_1;Appliances_2;Appliances_3;Appliances_4;Appliances_5;Appliances_6;Appliances_7;Appliances_8;Appliances_9;Appliances_10;Balcony_1;Balcony_2;Furniture_1;Furniture_2;Furniture_3;Internet_tv_1;Internet_tv_2;Bathroom_1;Bathroom_2;Utilities_1;Room_type_1;Room_type_2;Studio;Floors_in_b
Республика Татарстан, Казань, ул. Разведчика Ахмерова, 3;20.0;1;1;27000;39.0;12.0;10;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;19
Республика Татарстан, Казань, Вахитовский район, ул. Татарстан, 53;;1;1;14000;18.0;;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;9
Республика Татарстан, Казань, ул. Мидхата Булатова, 5;;3;2;40000;105.0;25.0;2;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;5
Республика Татарстан, Казань, пр-т Альберта Камалеева, 32;16.0;1;2;27000;32.0;9.0;14;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;23
Республика Татарстан, Казань, ул. Сибгата Хакима, 31;13.5;1;2;20000;45.0;17.5;5;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;9
Республика Татарстан, Казань, ул. Адоратского, 13;24.0;1;2;22000;36.0;6.0;10;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, ул. Мазита Гафури, 2;;2;2;25000;43.0;12.0;5;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;5
Республика Татарстан, Пестречинский р-н, Богородское сельское поселение, д. Куюки, 14-й квартал, 6;;1;2;13000;44.0;9.0;2;0;1;1;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;3
Республика Татарстан, Казань, Ново-Савиновский район, Меридианная ул., 3;;1;1;35000;41.0;10.0;5;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;6
Республика Татарстан, Казань, Чистопольская ул., 31;;1;2;18000;32.9;8.0;6;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, пр-т Альберта Камалеева, 1;;2;3;130000;130.0;50.0;12;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;1;0;0;1;0;0;36
Республика Татарстан, Казань, ул. Восстания, 1;;1;1;16000;35.0;6.0;2;0;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;5
Республика Татарстан, Казань, ул. Латышских Стрелков, 25А;30.3;1;1;15000;35.6;;4;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;1;14
Республика Татарстан, Казань, Чистопольская ул., 79;;2;2;40000;78.0;17.0;2;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;9
Республика Татарстан, Казань, ул. Латышских Стрелков, 9;35.0;2;2;25000;47.0;9.0;4;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;5
