,Living_space,Num_of_rooms,Renovation,Total_area,Kitchen_area,Floor,Appliances_2,Appliances_3,Appliances_4,Appliances_5,Appliances_7,Appliances_8,Appliances_9,Appliances_10,Balcony_1,Balcony_2,Furniture_1,Furniture_2,Furniture_3,Internet_tv_1,Internet_tv_2,Bathroom_1,Bathroom_2,Utilities_1,Room_type_1,Room_type_2,Studio,Floors_in_b,district_1,district_2,district_3,district_4,district_5,district_6,district_7,1st_floor,Metro_d,Center_d
0,20.0,1,1,39.0,12.0,10,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,19,1,0,0,0,0,0,0,0,3.278916810862651,3.827816589785408
1,16.41176470588235,1,1,18.0,7.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,9,0,1,0,0,0,0,0,0,1.5401292305035466,1.5514375167903622
2,75.45399839178394,3,2,105.0,25.0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,5,0,0,1,0,0,0,0,0,3.213986589308295,6.911961397442856
3,13.5,1,2,45.0,17.5,5,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,2.400259982661633,3.336200725271827
4,24.0,1,2,36.0,6.0,10,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,3.1785069570789624,4.4947715079672
5,23.474051441355627,2,2,43.0,12.0,5,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,5,0,1,0,0,0,0,0,0,2.0747476410261494,2.083230275121532
6,27.666666666666668,1,1,41.0,10.0,5,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,1.0015079423957198,3.402447333422615
7,18.710027099558403,1,2,32.9,8.0,6,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,1.4882740163423729,3.6541732647277785
8,18.91867393804866,1,1,35.0,6.0,2,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,5,0,0,0,0,1,0,0,0,2.033963865848907,6.576234512762025
9,30.3,1,1,35.6,8.0,4,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,14,1,0,0,0,0,0,0,0,0.734276743186606,4.269906633701303
